variable,valor
a_zt[1,1],0.0
a_zt[1,2],0.0
a_zt[1,3],0.0
a_zt[1,4],0.0
a_zt[1,5],981.0526602887907
a_zt[1,6],981.0526602887907
a_zt[1,7],981.0526602887907
a_zt[1,8],981.0526602887907
a_zt[1,9],981.0526602887907
a_zt[1,10],981.0526602887907
a_zt[1,11],981.0526602887907
a_zt[1,12],0.0
a_zt[1,13],0.0
a_zt[1,14],0.0
a_zt[1,15],0.0
a_zt[1,16],0.0
a_zt[1,17],981.0526602887907
a_zt[1,18],981.0526602887907
a_zt[1,19],981.0526602887907
a_zt[1,20],981.0526602887907
a_zt[1,21],981.0526602887907
a_zt[1,22],981.0526602887907
a_zt[1,23],981.0526602887907
a_zt[1,24],0.0
a_zt[2,1],0.0
a_zt[2,2],0.0
a_zt[2,3],0.0
a_zt[2,4],0.0
a_zt[2,5],904.6333022925188
a_zt[2,6],904.6333022925188
a_zt[2,7],904.6333022925188
a_zt[2,8],904.6333022925188
a_zt[2,9],904.6333022925188
a_zt[2,10],904.6333022925188
a_zt[2,11],904.6333022925188
a_zt[2,12],0.0
a_zt[2,13],0.0
a_zt[2,14],0.0
a_zt[2,15],0.0
a_zt[2,16],0.0
a_zt[2,17],904.6333022925188
a_zt[2,18],904.6333022925188
a_zt[2,19],904.6333022925188
a_zt[2,20],904.6333022925188
a_zt[2,21],904.6333022925188
a_zt[2,22],904.6333022925188
a_zt[2,23],904.6333022925188
a_zt[2,24],0.0
a_zt[3,1],0.0
a_zt[3,2],0.0
a_zt[3,3],0.0
a_zt[3,4],0.0
a_zt[3,5],1984.062755766256
a_zt[3,6],1984.062755766256
a_zt[3,7],1984.062755766256
a_zt[3,8],1984.062755766256
a_zt[3,9],1984.062755766256
a_zt[3,10],1984.062755766256
a_zt[3,11],1984.062755766256
a_zt[3,12],0.0
a_zt[3,13],0.0
a_zt[3,14],0.0
a_zt[3,15],0.0
a_zt[3,16],0.0
a_zt[3,17],1984.062755766256
a_zt[3,18],1984.062755766256
a_zt[3,19],1984.062755766256
a_zt[3,20],1984.062755766256
a_zt[3,21],1984.062755766256
a_zt[3,22],1984.062755766256
a_zt[3,23],1984.062755766256
a_zt[3,24],0.0
a_zt[4,1],0.0
a_zt[4,2],0.0
a_zt[4,3],0.0
a_zt[4,4],0.0
a_zt[4,5],1613.7050886466432
a_zt[4,6],1613.7050886466432
a_zt[4,7],1613.7050886466432
a_zt[4,8],1613.7050886466432
a_zt[4,9],1613.7050886466432
a_zt[4,10],1613.7050886466432
a_zt[4,11],1613.7050886466432
a_zt[4,12],0.0
a_zt[4,13],0.0
a_zt[4,14],0.0
a_zt[4,15],0.0
a_zt[4,16],0.0
a_zt[4,17],1613.7050886466432
a_zt[4,18],1613.7050886466432
a_zt[4,19],1613.7050886466432
a_zt[4,20],1613.7050886466432
a_zt[4,21],1613.7050886466432
a_zt[4,22],1613.7050886466432
a_zt[4,23],1613.7050886466432
a_zt[4,24],0.0
a_zt[5,1],0.0
a_zt[5,2],0.0
a_zt[5,3],0.0
a_zt[5,4],0.0
a_zt[5,5],1320.4912667312956
a_zt[5,6],1320.4912667312956
a_zt[5,7],1320.4912667312956
a_zt[5,8],1320.4912667312956
a_zt[5,9],1320.4912667312956
a_zt[5,10],1320.4912667312956
a_zt[5,11],1320.4912667312956
a_zt[5,12],0.0
a_zt[5,13],0.0
a_zt[5,14],0.0
a_zt[5,15],0.0
a_zt[5,16],0.0
a_zt[5,17],1320.4912667312956
a_zt[5,18],1320.4912667312956
a_zt[5,19],1320.4912667312956
a_zt[5,20],1320.4912667312956
a_zt[5,21],1320.4912667312956
a_zt[5,22],1320.4912667312956
a_zt[5,23],1320.4912667312956
a_zt[5,24],0.0
a_zt[6,1],0.0
a_zt[6,2],0.0
a_zt[6,3],0.0
a_zt[6,4],0.0
a_zt[6,5],2387.6677044048574
a_zt[6,6],2387.6677044048574
a_zt[6,7],2387.6677044048574
a_zt[6,8],2387.6677044048574
a_zt[6,9],2387.6677044048574
